SAPNo;QBCena;QB;Waluta
3720245;263,86;2;PLN
3720246;263,86;2;PLN
3720247;184,72;2;PLN
3720311;149,15;2;PLN
3720312;149,15;2;PLN
3720313;149,15;2;PLN
3720314;149,15;2;PLN
3720315;149,15;2;PLN
3720316;149,15;2;PLN
3720321;19,97;2;PLN
3720322;20,11;2;PLN
3720323;20,14;2;PLN
3720324;20,07;2;PLN
3728822;78,58;5;PLN
3728822;77,36;10;PLN
3728823;78,58;5;PLN
3728823;77,36;10;PLN
3728824;78,58;5;PLN
3728824;77,36;10;PLN
3728828;130,62;5;PLN
3728828;128,59;10;PLN
3728829;153,79;5;PLN
3728829;151,41;10;PLN
3728831;110,33;5;PLN
3728831;108,62;10;PLN
3728833;110,33;5;PLN
3728833;108,62;10;PLN
3728834;130,62;5;PLN
3728834;128,59;10;PLN
3728835;94,43;5;PLN
3728835;92,97;10;PLN
